"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler"
"E2_84697_STD_F293","ERS-2","SAR","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","84697","17","293","2011-07-02 21:01:03","2011-10-05 07:07:10","L1","2011-07-02 21:00:46","2011-07-02 21:01:03","62.7253","-146.5036","63.0779","-145.2655","62.1315","-145.8678","63.3148","-147.1686","62.3629","-147.711","NA","DESCENDING","https://datapool.asf.alaska.edu/L1/E2/E2_84697_STD_F293.zip","44.2","NA","26","905.6948","0",
"E2_84697_STD_F293","ERS-2","SAR","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","84697","17","293","2011-07-02 21:01:03","2011-10-05 07:18:42","L0","2011-07-02 21:00:46","2011-07-02 21:01:03","62.7253","-146.5036","63.0779","-145.2655","62.1315","-145.8678","63.3148","-147.1686","62.3629","-147.711","NA","DESCENDING","https://datapool.asf.alaska.edu/L0/E2/E2_84697_STD_L0_F293.zip","138.54","NA","26","905.6948","0",
"E2_84697_STD_F293","ERS-2","SAR","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","84697","17","293","2011-07-02 21:01:03","2011-10-05 07:07:03","BROWSE","2011-07-02 21:00:46","2011-07-02 21:01:03","62.7253","-146.5036","63.0779","-145.2655","62.1315","-145.8678","63.3148","-147.1686","62.3629","-147.711","NA","DESCENDING","https://datapool.asf.alaska.edu/BROWSE/E2/E2_84697_STD_F293.jpg",".45","NA","26","905.6948","0",
"R1_65207_ST5_F155","RADARSAT-1","SAR","ST5","Radarsat-1 Standard Beam 5 SAR","65207","296","155","2008-05-02 03:25:07","2010-11-06 06:08:05","L0","2008-05-02 03:24:50","2008-05-02 03:25:07","61.9679","-147.3702","61.4115","-148.1283","62.374","-148.5536","61.5535","-146.2181","62.5184","-146.582","NA","ASCENDING","https://datapool.asf.alaska.edu/L0/R1/R1_65207_ST5_L0_F155.zip","145.77","NA","80","-351.6965","-4284.49",
"R1_65207_ST5_F155","RADARSAT-1","SAR","ST5","Radarsat-1 Standard Beam 5 SAR","65207","296","155","2008-05-02 03:25:07","2010-11-06 06:06:24","L1","2008-05-02 03:24:50","2008-05-02 03:25:07","61.9679","-147.3702","61.4115","-148.1283","62.374","-148.5536","61.5535","-146.2181","62.5184","-146.582","NA","ASCENDING","https://datapool.asf.alaska.edu/L1/R1/R1_65207_ST5_F155.zip","51.75","NA","80","-351.6965","-4284.49",
"R1_65207_ST5_F155","RADARSAT-1","SAR","ST5","Radarsat-1 Standard Beam 5 SAR","65207","296","155","2008-05-02 03:25:07","2010-11-06 06:06:17","BROWSE","2008-05-02 03:24:50","2008-05-02 03:25:07","61.9679","-147.3702","61.4115","-148.1283","62.374","-148.5536","61.5535","-146.2181","62.5184","-146.582","NA","ASCENDING","https://datapool.asf.alaska.edu/BROWSE/R1/R1_65207_ST5_F155.jpg",".38","NA","80","-351.6965","-4284.49",
